                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5997,                 2.2093,                 1.3725,                0.68684,                0.57617,                 0.6357,                0.33481,                 1.5344,                  1.505,                 1.2917,                0.07008,              0.0033244,              0.0033244
                      1,                 1.5378,                  1.453,                 1.3002,                0.66168,                0.54116,                0.61101,                0.31789,                  1.602,                  1.584,                 1.3741,               0.039861,               0.006438,               0.006438
                      2,                 1.5801,                 1.4289,                 1.3165,                 0.6462,                0.54466,                0.56791,                0.28502,                 1.6916,                 1.6044,                  1.396,               0.009421,              0.0093317,              0.0093317
                      3,                  1.616,                 1.4221,                 1.3408,                0.71154,                0.52364,                0.59429,                0.30159,                 1.6382,                 1.4988,                 1.3914,                0.00901,                0.00901,                0.00901
                      4,                 1.5833,                 1.3453,                 1.3282,                0.73503,                0.58844,                0.66553,                0.37777,                 1.5232,                 1.3334,                 1.3349,                0.00901,                0.00901,                0.00901
                      5,                 1.5509,                 1.2785,                  1.312,                0.71943,                0.58829,                0.64716,                0.34689,                 1.6262,                 1.3973,                 1.3953,                0.00868,                0.00868,                0.00868
                      6,                 1.4975,                   1.19,                 1.2817,                0.75683,                0.64448,                0.72069,                0.42096,                  1.468,                 1.1633,                 1.3282,                0.00835,                0.00835,                0.00835
                      7,                   1.46,                  1.141,                  1.263,                0.76751,                0.67951,                0.73459,                0.41565,                 1.4626,                 1.1047,                 1.3179,                0.00802,                0.00802,                0.00802
                      8,                   1.43,                 1.0965,                 1.2429,                 0.8323,                0.64317,                0.75377,                0.43519,                 1.4493,                  1.099,                  1.252,                0.00769,                0.00769,                0.00769
                      9,                 1.3999,                 1.0594,                 1.2254,                0.81875,                0.65674,                0.74371,                0.41543,                 1.5127,                 1.1241,                 1.3249,                0.00736,                0.00736,                0.00736
                     10,                 1.3722,                 1.0162,                 1.2064,                 0.7812,                0.68156,                 0.7523,                0.43181,                 1.4977,                 1.0918,                 1.3149,                0.00703,                0.00703,                0.00703
                     11,                 1.3556,                0.99622,                 1.2049,                0.82038,                 0.6879,                0.76991,                0.44633,                 1.4394,                 1.0131,                  1.308,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3407,                0.96688,                 1.1904,                 0.8365,                0.70228,                0.78806,                0.48219,                 1.3701,                0.96424,                 1.2432,                0.00637,                0.00637,                0.00637
                     13,                 1.2944,                0.93626,                 1.1734,                0.82968,                0.71454,                0.79566,                 0.4835,                  1.354,                0.94808,                 1.2372,                0.00604,                0.00604,                0.00604
                     14,                 1.2876,                 0.9125,                 1.1701,                0.82586,                0.68651,                0.76408,                0.45755,                 1.4392,                0.99249,                 1.2808,                0.00571,                0.00571,                0.00571
                     15,                 1.2676,                0.88717,                 1.1593,                0.83927,                0.72243,                0.81248,                0.49795,                 1.3456,                 0.8853,                 1.2264,                0.00538,                0.00538,                0.00538
                     16,                 1.2461,                0.85898,                 1.1384,                0.85944,                0.73889,                0.80759,                0.49709,                  1.326,                0.88232,                 1.2408,                0.00505,                0.00505,                0.00505
                     17,                  1.227,                0.83586,                 1.1329,                 0.8571,                0.72481,                 0.8197,                0.50805,                 1.3213,                0.86345,                 1.2346,                0.00472,                0.00472,                0.00472
                     18,                 1.2121,                0.82416,                 1.1319,                0.88181,                0.73172,                 0.8165,                0.51387,                 1.3179,                0.85063,                 1.2254,                0.00439,                0.00439,                0.00439
                     19,                 1.2015,                0.80016,                 1.1184,                0.87936,                 0.7303,                0.80985,                0.52063,                 1.2846,                0.82602,                 1.2105,                0.00406,                0.00406,                0.00406
                     20,                 1.1583,                 0.7433,                 1.0909,                0.87681,                0.72329,                0.79919,                0.50345,                 1.2973,                0.86995,                 1.2242,                0.00373,                0.00373,                0.00373
                     21,                 1.1364,                0.71401,                  1.086,                0.86752,                0.73394,                0.82312,                0.51685,                 1.2965,                0.84411,                 1.2101,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.1129,                0.68337,                 1.0707,                0.85184,                0.72329,                0.79722,                0.51643,                 1.2968,                0.91466,                 1.2091,                0.00307,                0.00307,                0.00307
                     23,                 1.0848,                0.66251,                 1.0598,                0.83973,                0.76161,                0.82406,                0.52117,                 1.2935,                0.81611,                 1.2091,                0.00274,                0.00274,                0.00274
                     24,                 1.0588,                0.64091,                 1.0427,                0.88637,                0.74606,                0.82823,                0.53078,                 1.2663,                0.77709,                 1.1918,                0.00241,                0.00241,                0.00241
                     25,                  1.043,                0.62186,                 1.0361,                0.85975,                0.76182,                0.82639,                0.53189,                 1.2698,                0.76743,                 1.1939,                0.00208,                0.00208,                0.00208
                     26,                 1.0195,                0.60344,                 1.0254,                0.86381,                0.77933,                0.82605,                0.54074,                  1.259,                0.75359,                 1.1901,                0.00175,                0.00175,                0.00175
                     27,                0.99474,                0.57948,                 1.0114,                0.87802,                  0.769,                0.82522,                0.53982,                 1.2337,                0.72452,                 1.1927,                0.00142,                0.00142,                0.00142
                     28,                0.97044,                0.56247,                 1.0004,                0.87579,                0.79159,                0.84259,                0.55778,                  1.215,                0.73753,                 1.1813,                0.00109,                0.00109,                0.00109
                     29,                0.95332,                0.54424,                0.99371,                0.88307,                0.77583,                0.84235,                0.55879,                 1.2143,                0.70416,                 1.1856,                0.00076,                0.00076,                0.00076
